file,filter,quality_flag,mean,median,std,min_value,max_value,saturation_fraction,bad_pixel_fraction
qatar1b-128.fit,R,ok,89.2203411843572,82.09103000907785,210.65520869964323,-1131.0440645830436,29791.58101889712,0.0,0.0005795384298372141
qatar1b-129.fit,R,ok,89.17778260571714,82.10113361806356,198.7416473903594,-1116.7043617040192,27524.89754984829,0.0,0.0006549704159430102
qatar1b-130.fit,R,ok,90.1076843995636,83.00647973175332,208.79240577770517,-930.5986517988352,30828.594312584257,0.0,0.0005390627299755674
qatar1b-131.fit,R,ok,90.10239813947767,82.92156612386547,212.14464777543293,-868.6697254179468,34576.23615639658,0.0,0.0005280239027405728
qatar1b-132.fit,R,ok,89.68041472230698,82.55481215615134,205.3242195856987,-892.6422130492584,29447.682829254332,0.0,0.0005077860528097495
qatar1b-133.fit,R,ok,89.6915871310464,82.60791948844994,206.50460981384978,-869.6685790692515,31781.67546820013,0.0,0.0004728297665656001
qatar1b-134.fit,R,ok,90.18556303233082,83.16311932261107,192.79241435910671,-864.6743108127282,25971.05952562058,0.0,0.0005225044891230756
qatar1b-135.fit,R,ok,90.31281684101204,83.21049622440992,202.59484388519334,-912.6192860753515,28873.347676047233,0.0,0.0004949074210355891
qatar1b-136.fit,R,ok,89.94346945709212,82.90808649978356,194.66340230604123,-823.7213111092374,26885.817698730665,0.0,0.0004857083983397604
qatar1b-137.fit,R,ok,89.369064836801,82.30368175540225,198.67111516392322,-897.6364813057818,27575.856288442294,0.0,0.0006218539342380266
qatar1b-138.fit,R,ok,89.82341391849354,82.79573398932092,193.40724420980473,-910.6215787727423,25014.50771984583,0.0,0.0005390627299755674
qatar1b-139.fit,R,ok,90.62921973837487,83.51301625773733,209.88531550850425,-601.2706481111996,32289.754433525603,0.0,0.000504106443731418
qatar1b-140.fit,R,ok,90.75467777685827,83.72513322452787,194.20527178270095,-650.9295192997963,25729.106912121322,0.0,0.0004838685938005946
qatar1b-141.fit,R,ok,90.75186369228479,83.67101800700269,200.21249102421095,-660.7043200826527,30256.618326391155,0.0,0.00039739778045980395
qatar1b-142.fit,R,ok,89.91316093199691,82.97649289893249,187.16677582108048,-665.8999524446921,24319.948123003953,0.0,0.000550101557210562
